CodigoSAP,Contenido,producto,Minimo,Maximo
42002239,Salud y Bienestar,Vacunacion,N/A,N/A
40004990,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
40005023,Salud y Bienestar,Examenes de laboratorio,1,N/A
10000013,Salud y Bienestar,Vacunacion,N/A,N/A
42000050,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000153,Escuela Empresarial,Conferencia desarrollo humano,15,50
42002570,Viaje y Recreacion,Celebraciones empresariales,120,150
42002723,Cultura,Lectura,32,50
42003390,Escuela Empresarial,Destrezas para el trabajo,15,25
42000184,Viaje y Recreacion,Todo Parque,4,N/A
42000655,Escuela Empresarial,Conferencia desarrollo humano,25,50
42002248,Salud y Bienestar,Capf Empresarial,N/A,N/A
42003376,Educacion,Ingles de practica o actualizacion,12,15
40001645,Viaje y Recreacion,Todo Parque,4,N/A
40001905,Viaje y Recreacion,Implementos Y Otros,N/A,N/A
42000318,Educacion,Educacion,N/A,N/A
42000336,Salud y Bienestar,Plan Capf,N/A,N/A
42000141,Viaje y Recreacion,Alimentacion,N/A,N/A
40004519,Educacion,Movimiento Consciente,25,30
42001181,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42001622,Educacion,Movimiento Consciente,25,30
42002066,Cultura,Escenarios,10,250
40004515,Educacion,Educacion,N/A,N/A
42003016,Escuela Empresarial,Destrezas para el trabajo,15,25
42003027,Escuela Empresarial,Destrezas para el trabajo,15,25
41000919,Escuela Empresarial,Competencias organizacionales,1,N/A
10000024,Salud y Bienestar,Vacunacion,N/A,N/A
42002669,Educacion,Arte Manual,15,25
42002684,Salud y Bienestar,Plan Capf,1,1
41000915,Escuela Empresarial,Competencias organizacionales,1,N/A
42003378,Educacion,Ingles de practica o actualizacion,11,15
42001846,Viaje y Recreacion,Conversaciones con sabor,27,30
41000125,Salud y Bienestar,Sueño reparador,10,30
42001050,Escuela Empresarial,Conferencia desarrollo humano,15,50
42002479,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002557,Viaje y Recreacion,Celebraciones empresariales,17,20
42002710,Viaje y Recreacion,Otras boleterias,28,30
42002771,Escuela Empresarial,Competencias organizacionales,15,30
41000918,Escuela Empresarial,Competencias organizacionales,1,N/A
42000355,Viaje y Recreacion,Alimentacion,N/A,N/A
40004903,Servicios Financieros,Plan Exequial ,1,N/A
42001712,Escuela Empresarial,Conferencia diversidad e inclusion,15,50
42002494,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002917,Cultura,Cultura - Conversatorio,N/A,N/A
40002799,Salud y Bienestar,Descanso dirigido,N/A,10
42001341,Salud y Bienestar,Talleres Educativos Salud,15,20
42002720,Escuela Empresarial,Competencias organizacionales,1,N/A
42002879,Viaje y Recreacion,Alimentacion,N/A,N/A
42002930,Viaje y Recreacion,Alimentacion,N/A,N/A
42002976,Escuela Empresarial,Destrezas para el trabajo,15,25
42000228,Educacion,Actividades fisico deportivas,N/A,N/A
42000495,Servicios Financieros,Educacion Financiera,10,30
42002290,Educacion,Colegios,N/A,N/A
42000200,Viaje y Recreacion,Todo Parque,1,N/A
42002448,Educacion,Alimentacion Consciente,25,30
42002488,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002674,Educacion,Arte Manual,15,25
42003032,Escuela Empresarial,Destrezas para el trabajo,15,25
42003382,Viaje y Recreacion,Celebraciones empresariales,31,50
40004060,Viaje y Recreacion,Conversaciones con sabor,24,30
40004512,Educacion,Educacion,N/A,N/A
42002474,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
40005019,Salud y Bienestar,Examenes de laboratorio,1,N/A
42003023,Escuela Empresarial,Destrezas para el trabajo,15,25
40000547,Educacion,Escenarios,N/A,N/A
40001414,Escuela Empresarial,Taller desarrollo humano,20,25
40004070,Viaje y Recreacion,Jornada Lúdico Reflexiva,23,30
42000508,Educacion,Tecnicas De Relajacion,15,20
40004670,Viaje y Recreacion,Conversaciones con sabor,23,30
40004933,Salud y Bienestar,Cita medica ocupacional,1,1
42002502,Salud y Bienestar,Examenes de laboratorio,1,N/A
42001221,Viaje y Recreacion,Actividades complementarias parques,75,200
42002245,Viaje y Recreacion,Caminadas Ecologicas,1,10
42002470,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002492,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
40000082,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000018,Salud y Bienestar,Psicologia,N/A,N/A
42000232,Educacion,Actividades fisico deportivas,N/A,N/A
42000522,Salud y Bienestar,Cita medica ocupacional,14,16
42000091,Viaje y Recreacion,Alimentacion,N/A,N/A
40004685,Salud y Bienestar,Asesoria Profesional salud,5,15
40004842,Viaje y Recreacion,Alimentacion,N/A,N/A
42002440,Servicios Financieros,Vida Comfama,1,N/A
42002549,Educacion,Tecnicas De Relajacion,25,30
42002775,Escuela Empresarial,Competencias organizacionales,15,30
42002978,Escuela Empresarial,Destrezas para el trabajo,15,25
40001845,Viaje y Recreacion,Todo Parque,1,N/A
40004057,Viaje y Recreacion,Conversaciones con sabor,18,27
42000167,Escuela Empresarial,Conferencia desarrollo humano,24,50
42000147,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
42002512,Viaje y Recreacion,Alimentacion,N/A,N/A
42003010,Escuela Empresarial,Destrezas para el trabajo,12,15
42003034,Escuela Empresarial,Destrezas para el trabajo,15,25
40001640,Viaje y Recreacion,Turismo,20,N/A
42001177,Viaje y Recreacion,Aventura Empresarial,1,1
42000457,Viaje y Recreacion,Alimentacion,N/A,N/A
10000335,Salud y Bienestar,Vacunacion,N/A,N/A
42003064,Cultura,Cultura - Conversatorio,N/A,N/A
40002002,Educacion,Actividades fisico deportivas,N/A,N/A
42000354,Salud y Bienestar,Capf Empresarial,N/A,N/A
42000861,Cultura,Cultura- Conversatorio,N/A,N/A
42002223,Viaje y Recreacion,Conversaciones con sabor,74,100
42002431,Escuela Empresarial,Escenarios,N/A,40
42002447,Educacion,Alimentacion Consciente,15,20
42002679,Salud y Bienestar,Plan Capf,1,1
42003128,Cultura,Auditorios y salones,50,Máximo: 300 personas sentadas o 600 de pie
42003391,Escuela Empresarial,Destrezas para el trabajo,15,25
40000060,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000285,Viaje y Recreacion,Transporte,N/A,N/A
42001624,Educacion,Movimiento Consciente,25,30
42002481,Salud y Bienestar,Examenes de laboratorio,1,N/A
40004988,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
40002664,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000084,Viaje y Recreacion,Internos,N/A,N/A
42002497,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002540,Educacion,Movimiento Consciente,25,30
42001025,Viaje y Recreacion,Jornada Lúdico Reflexiva,23,30
42000322,Salud y Bienestar,Plan Smart Fit,N/A,N/A
42002165,Salud y Bienestar,Cita medica ocupacional,1,1
40004987,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002971,Escuela Empresarial,Destrezas para el trabajo,15,25
42003473,Educacion,Destrezas para el trabajo,3,5
40001653,Escuela Empresarial,Competencias familiares,4,N/A
41000119,Salud y Bienestar,Pausas activas,10,30
42000013,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42001396,Salud y Bienestar,Salud,N/A,N/A
40004823,Escuela Empresarial,Conferencia desarrollo humano,15,25
42002019,Cultura,Cultura - Cine Y Teatro,N/A,N/A
41000550,Viaje y Recreacion,Caminadas Ecologicas,19,25
42002682,Salud y Bienestar,Plan Capf,1,1
42002787,Salud y Bienestar,Salud - ley 21 atencion empresas,1,1
42003414,Escuela Empresarial,Gestion del talento humano,15,25
10000012,Salud y Bienestar,Vacunacion,N/A,N/A
40000017,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42000030,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40004686,Salud y Bienestar,Asesoria Profesional salud,1,2
42002605,Educacion,Música,15,20
42002672,Educacion,Arte Manual,15,25
42002704,Escuela Empresarial,Competencias organizacionales,1,N/A
"42002783,Escuela Empresarial,""Equidad, diversidad e inclusion"",26,30",,,,
42002984,Escuela Empresarial,Destrezas para el trabajo,15,25
42002999,Escuela Empresarial,Destrezas para el trabajo,10,12
42003000,Escuela Empresarial,Destrezas para el trabajo,15,25
40000976,Viaje y Recreacion,Escenarios,1,1
40003353,Educacion,Tecnicas De Relajacion,15,20
42002163,Salud y Bienestar,Cita medica ocupacional,1,1
42002313,Viaje y Recreacion,Otros servicios,N/A,N/A
42002496,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002544,Educacion,Movimiento Consciente,25,30
40004982,Salud y Bienestar,Salud - ley 21 atencion empresas,24,N/A
40005010,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
41000770,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42002987,Escuela Empresarial,Destrezas para el trabajo,15,25
42000096,Viaje y Recreacion,Alimentacion,N/A,N/A
42002521,Educacion,Movimiento Consciente,25,30
42002555,Educacion,Tecnicas De Relajacion,25,30
42002694,Escuela Empresarial,Competencias organizacionales,23,25
42003028,Escuela Empresarial,Destrezas para el trabajo,1,1
40003193,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40004343,Viaje y Recreacion,Actividades complementarias parques,75,200
42000026,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000662,Escuela Empresarial,Conferencia desarrollo humano,25,50
42002586,Viaje y Recreacion,Celebraciones empresariales,1,1
10000003,Salud y Bienestar,Vacunacion,N/A,N/A
42000022,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42001007,Viaje y Recreacion,Caminadas Ecologicas,19,25
42001017,Viaje y Recreacion,Conversaciones con sabor,23,30
42002317,Salud y Bienestar,Salud,N/A,N/A
42002681,Salud y Bienestar,Plan Capf,1,1
40000435,Viaje y Recreacion,Alimentacion,N/A,N/A
40004068,Viaje y Recreacion,Jornada Lúdico Reflexiva,23,30
42001711,Escuela Empresarial,Conferencia diversidad e inclusion,15,50
42001323,Viaje y Recreacion,Internos,N/A,N/A
42002522,Educacion,Movimiento Consciente,25,30
42002600,Educacion,Danza y baile,20,25
42002972,Escuela Empresarial,Destrezas para el trabajo,15,25
42003049,Viaje y Recreacion,Jornadas Recreativas,13,15
42003060,Viaje y Recreacion,Jornadas Recreativas,22,25
42000101,Escuela Empresarial,Taller desarrollo humano,20,25
42000860,Cultura,Cultura - Conversatorio,N/A,N/A
42000192,Educacion,Convenio matricula,4,N/A
42001015,Viaje y Recreacion,Conversaciones con sabor,24,30
42001856,Salud y Bienestar,Asesoria Profesional salud,N/A,2
42002588,Viaje y Recreacion,Celebraciones empresariales,43,50
42002603,Educacion,Teatro,15,20
42002873,Viaje y Recreacion,Alimentacion,N/A,N/A
42002992,Escuela Empresarial,Destrezas para el trabajo,10,12
42000071,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42001395,Salud y Bienestar,Vacunacion,N/A,N/A
42002583,Viaje y Recreacion,Celebraciones empresariales,41,50
40005004,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002989,Escuela Empresarial,Destrezas para el trabajo,10,12
42003031,Escuela Empresarial,Destrezas para el trabajo,15,25
42003036,Escuela Empresarial,Destrezas para el trabajo,15,25
42003125,Cultura,Auditorios y salones,5,60
42003435,Escuela Empresarial,Destrezas para el trabajo,15,20
40000446,Escuela Empresarial,Curso desarrollo humano,20,25
40003681,Educacion,Educacion,N/A,N/A
40004059,Viaje y Recreacion,Caminadas Ecologicas,41,80
42002611,Educacion,Arte Manual,15,20
40004998,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002770,Escuela Empresarial,Competencias organizacionales,15,30
40000872,Viaje y Recreacion,Alimentacion,N/A,N/A
42000068,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42001013,Viaje y Recreacion,Caminadas Ecologicas,20,25
42001830,Cultura,Escenarios,1,289
40004513,Educacion,Educacion,N/A,N/A
42003472,Educacion,Destrezas para el trabajo,3,5
40000085,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40001108,Viaje y Recreacion,Alimentacion,N/A,N/A
41000104,Salud y Bienestar,Plan Capf,N/A,N/A
42000230,Educacion,Auditorios Y Salones,N/A,N/A
42001618,Educacion,Movimiento Consciente,25,30
40000029,Salud y Bienestar,Escuela Osteomuscular O Cardiovascular,4,12
40000429,Viaje y Recreacion,Alimentacion,N/A,N/A
10000285,Salud y Bienestar,Vacunacion,N/A,N/A
41000098,Salud y Bienestar,Asesoria Profesional salud,N/A,N/A
41000279,Viaje y Recreacion,Todo Parque,1,N/A
42000197,Escuela Empresarial,Taller desarrollo humano,20,25
42000224,Educacion,Actividades fisico deportivas,N/A,N/A
42002520,Educacion,Movimiento Consciente,25,30
42002602,Educacion,Teatro,15,20
41000766,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
40001417,Escuela Empresarial,Taller desarrollo humano,8,25
42000161,Escuela Empresarial,Curso desarrollo humano,2,25
42002222,Viaje y Recreacion,Aventura Empresarial,4,4
40000735,Educacion,Escenarios,N/A,N/A
42000144,Viaje y Recreacion,Alimentacion,N/A,N/A
42001083,Salud y Bienestar,Cita medica ocupacional,1,N/A
42002242,Viaje y Recreacion,Olimpiadas,1,8
40004834,Cultura,Escenarios,10,250
40005003,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002884,Cultura,Cultura - Conversatorio,N/A,N/A
42002922,Cultura,Cultura - Cine Y Teatro,30,N/A
42003025,Escuela Empresarial,Destrezas para el trabajo,15,25
40001110,Viaje y Recreacion,Alimentacion,N/A,N/A
42000083,Escuela Empresarial,Taller desarrollo humano,20,25
42000517,Salud y Bienestar,Plan Smart Fit,N/A,N/A
40004494,Salud y Bienestar,Salud,N/A,N/A
40000431,Viaje y Recreacion,Alimentacion,N/A,N/A
42002164,Salud y Bienestar,Cita medica ocupacional,1,1
42001327,Salud y Bienestar,Salud,N/A,N/A
42002298,Salud y Bienestar,SG-SST,11,50
42002573,Viaje y Recreacion,Celebraciones empresariales,34,50
42003132,Cultura,Auditorios y salones,5,76
40000093,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40000445,Escuela Empresarial,Taller desarrollo humano,20,25
42000014,Salud y Bienestar,Consulta Profesional Salud,N/A,N/A
42000526,Salud y Bienestar,Cita medica ocupacional,1,N/A
41000944,Cultura,Cultura - Cine Y Teatro,30,N/A
42003005,Escuela Empresarial,Destrezas para el trabajo,2,6
40004067,Viaje y Recreacion,Aventura Empresarial,21,26
42001478,Escuela Empresarial,Conferencia diversidad e inclusion,15,50
40005012,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42003127,Cultura,Auditorios y salones,5,60
42003133,Cultura,Auditorios y salones,5,76
40002286,Viaje y Recreacion,Transporte,N/A,N/A
40002339,Escuela Empresarial,Curso Excel,16,20
42001021,Viaje y Recreacion,Aventura Empresarial,17,26
42002229,Viaje y Recreacion,Conversaciones con sabor,1,1
42002536,Educacion,Movimiento Consciente,25,30
42002610,Educacion,Arte Manual,15,20
42002772,Escuela Empresarial,Competencias organizacionales,15,30
42003072,Escuela Empresarial,Destrezas para el trabajo,15,25
40001182,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
42000494,Servicios Financieros,Educacion Financiera,1,30
42002498,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
40000107,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40001648,Viaje y Recreacion,Todo Parque,4,N/A
40002882,Viaje y Recreacion,Todo Parque,N/A,N/A
40003609,Escuela Empresarial,Conferencia desarrollo humano,25,50
40004062,Viaje y Recreacion,Conversaciones con sabor,23,30
42000327,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42002468,Educacion,Auditorios y salones,N/A,N/A
42002546,Educacion,Movimiento Consciente,25,30
42002882,Cultura,Cultura - Conversatorio,25,60
42002960,Viaje y Recreacion,Alimentacion,N/A,N/A
40001843,Viaje y Recreacion,Todo Parque,1,N/A
42000015,Salud y Bienestar,Peso Saludable,N/A,N/A
42000324,Salud y Bienestar,Plan Smart Fit,N/A,N/A
42000194,Salud y Bienestar,Salud,N/A,N/A
42002221,Viaje y Recreacion,Transporte,N/A,N/A
42002318,Salud y Bienestar,Salud,N/A,N/A
42001326,Educacion,Educacion,N/A,N/A
42002486,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002885,Cultura,Lectura,15,30
42003046,Salud y Bienestar,Sin asignar,N/A,N/A
40000043,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40000074,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40002855,Educacion,Escenarios,1,8
42000718,Educacion,Educacion,N/A,N/A
42000743,Cultura,Cultura- Conversatorio,N/A,N/A
42002478,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002533,Educacion,Movimiento Consciente,25,30
40004986,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002991,Escuela Empresarial,Destrezas para el trabajo,10,12
42003045,Salud y Bienestar,Sin asignar,N/A,N/A
42003073,Escuela Empresarial,Destrezas para el trabajo,15,25
42003422,Escuela Empresarial,Mercadeo y Ventas,15,25
40005007,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002686,Salud y Bienestar,Plan Capf,1,1
42002883,Cultura,Cultura - Conversatorio,25,60
40003601,Escuela Empresarial,Conferencia desarrollo humano,25,50
40004182,Salud y Bienestar,Cita medica ocupacional,1,N/A
42000079,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000715,Educacion,Educacion,N/A,N/A
42000136,Viaje y Recreacion,Escenarios,1,1
42001187,Salud y Bienestar,Peso Saludable,N/A,N/A
42002156,Escuela Empresarial,Taller diversidad e inclusion,10,30
42001324,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
42002773,Escuela Empresarial,Competencias organizacionales,15,30
40000051,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40003364,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000106,Viaje y Recreacion,Alimentacion,N/A,N/A
42002188,Escuela Empresarial,Curso diversidad e inclusion,15,30
42002629,Viaje y Recreacion,Jornadas recreativas,19,25
40001642,Viaje y Recreacion,Todo Parque,8,N/A
40003784,Salud y Bienestar,Psicologia,1,1
40004669,Viaje y Recreacion,Conversaciones con sabor,27,30
40004992,Salud y Bienestar,Examenes de laboratorio,1,N/A
42003061,Viaje y Recreacion,Jornadas Recreativas,22,25
10000032,Salud y Bienestar,Vacunacion,N/A,N/A
40000196,Viaje y Recreacion,Internos,N/A,N/A
40000972,Viaje y Recreacion,Escenarios,1,1
42001608,Educacion,Licencia,1,1
42001629,Educacion,Movimiento Consciente,25,30
42002319,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
42002236,Salud y Bienestar,Capf empresarial,N/A,N/A
42002524,Educacion,Movimiento Consciente,25,30
42000078,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000335,Salud y Bienestar,Plan Capf,N/A,N/A
42001875,Viaje y Recreacion,Jornadas recreativas,24,30
40005016,Salud y Bienestar,Examenes de laboratorio,1,N/A
41000762,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
42003024,Escuela Empresarial,Destrezas para el trabajo,15,25
40004109,Escuela Empresarial,Conferencia desarrollo humano,15,50
42000458,Viaje y Recreacion,Alimentacion,N/A,N/A
42002577,Viaje y Recreacion,Celebraciones empresariales,17,20
40004994,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002982,Escuela Empresarial,Destrezas para el trabajo,15,25
42003396,Escuela Empresarial,Destrezas para el trabajo,15,25
42003194,Educacion,Sin asignar,,
40000682,Viaje y Recreacion,Escenarios,1,1
42001008,Viaje y Recreacion,Caminadas Ecologicas,19,25
42001653,Educacion,Tecnicas De Relajacion,25,30
42002118,Viaje y Recreacion,Escenarios,150,250
10000328,Salud y Bienestar,Vacunacion,N/A,N/A
42002471,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002489,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002612,Educacion,Fotografia,15,20
42003019,Escuela Empresarial,Destrezas para el trabajo,15,25
42003468,Viaje y Recreacion,Torneos,19,24
42001329,Viaje y Recreacion,Sin asignar,N/A,N/A
42002535,Educacion,Movimiento Consciente,25,30
42002988,Escuela Empresarial,Destrezas para el trabajo,15,25
42003003,Escuela Empresarial,Destrezas para el trabajo,2,6
42003449,Viaje y Recreacion,Torneos,32,32
40000062,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000143,Viaje y Recreacion,Alimentacion,N/A,N/A
40004518,Educacion,Movimiento Consciente,25,30
40004935,Salud y Bienestar,Cita medica ocupacional,1,1
42001765,Escuela Empresarial,Instrumentos de valoracion y pruebas,100,Ver ficha
42002934,Cultura,Cultura - Conversatorio,N/A,N/A
40003714,Cultura,Lectura,N/A,N/A
42001106,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
40004347,Viaje y Recreacion,Actividades complementarias parques,23,30
42002548,Educacion,Tecnicas De Relajacion,25,30
42002572,Viaje y Recreacion,Celebraciones empresariales,17,20
42003392,Escuela Empresarial,Destrezas para el trabajo,15,25
40004638,Educacion,Actividades fisico deportivas,N/A,N/A
42001860,Salud y Bienestar,Asesoria Profesional salud,N/A,3
42002511,Viaje y Recreacion,Alimentacion,N/A,N/A
42002465,Viaje y Recreacion,Rituales empresariales,36,40
42002979,Escuela Empresarial,Destrezas para el trabajo,15,25
40000048,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42000202,Viaje y Recreacion,Todo Parque,1,N/A
42002534,Educacion,Movimiento Consciente,25,30
42002997,Escuela Empresarial,Destrezas para el trabajo,10,12
42003124,Cultura,Lectura,20,40
42003467,Viaje y Recreacion,Torneos,19,24
42000201,Viaje y Recreacion,Todo Parque,1,N/A
40004533,Educacion,Tecnicas De Relajacion,25,30
42002565,Viaje y Recreacion,Escenarios,1,1
40005001,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002709,Escuela Empresarial,Competencias organizacionales,1,N/A
42003385,Educacion,Educacion,1,90
40001790,Escuela Empresarial,Taller desarrollo humano,20,25
40004183,Salud y Bienestar,Cita medica ocupacional,1,N/A
42000159,Escuela Empresarial,Taller desarrollo humano,4,25
42002117,Viaje y Recreacion,Escenarios,150,250
40004993,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002786,Servicios Financieros,Plan Exequial ,1,N/A
42003013,Escuela Empresarial,Destrezas para el trabajo,12,15
42003380,Viaje y Recreacion,Celebraciones empresariales,1,1
40000104,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40000423,Viaje y Recreacion,Alimentacion,N/A,N/A
40002419,Escuela Empresarial,Curso Excel,16,20
40003604,Escuela Empresarial,Conferencia desarrollo humano,25,50
41000109,Salud y Bienestar,Descanso dirigido,N/A,10
42000146,Viaje y Recreacion,Alimentacion,N/A,N/A
40004303,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40004521,Educacion,Movimiento Consciente,25,30
42001619,Educacion,Movimiento Consciente,25,30
42003038,Escuela Empresarial,Destrezas para el trabajo,15,25
40002733,Salud y Bienestar,Plan Capf,N/A,N/A
40004103,Escuela Empresarial,Conferencia desarrollo humano,15,50
41000095,Salud y Bienestar,Asesoria Profesional salud,N/A,N/A
42000170,Escuela Empresarial,Conferencia desarrollo humano,20,50
42002491,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
41000461,Viaje y Recreacion,Conversaciones con sabor,37,50
41000943,Cultura,Cultura - Cine Y Teatro,30,N/A
40000078,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
40001419,Escuela Empresarial,Taller desarrollo humano,4,25
41000105,Salud y Bienestar,Plan Capf,N/A,N/A
42000714,Educacion,Educacion,N/A,N/A
40004310,Salud y Bienestar,Capf Empresarial,N/A,N/A
42002315,Educacion,Educacion,N/A,N/A
10000005,Salud y Bienestar,Vacunacion,N/A,N/A
40001992,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
42000199,Viaje y Recreacion,Todo Parque,N/A,N/A
42000229,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
42001108,Salud y Bienestar,Psicologia,1,1
42002510,Viaje y Recreacion,Alimentacion,N/A,N/A
42002226,Viaje y Recreacion,Conversaciones con sabor,112,150
42002446,Educacion,Alimentacion Consciente,15,20
42002475,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002485,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002487,Salud y Bienestar,Examenes de laboratorio,1,N/A
42002711,Viaje y Recreacion,Otras boleterias,45,50
42003406,Cultura,Cultura - Exposiciones Artisticas,1,1
10000006,Salud y Bienestar,Vacunacion,N/A,N/A
42000744,Cultura,Lectura,N/A,N/A
42001057,Escuela Empresarial,Conferencia desarrollo humano,25,50
42002314,Educacion,Educacion,N/A,N/A
42002493,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002576,Viaje y Recreacion,Celebraciones empresariales,1,1
42002579,Viaje y Recreacion,Celebraciones empresariales,79,100
40004985,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
40000056,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42001770,Escuela Empresarial,Conferencia administracion,15,50
42002578,Viaje y Recreacion,Celebraciones empresariales,42,50
40000034,Salud y Bienestar,Peso Saludable,N/A,N/A
40001434,Escuela Empresarial,Conferencia desarrollo humano,8,50
40001644,Viaje y Recreacion,Todo Parque,4,N/A
40003181,Viaje y Recreacion,Alimentacion,N/A,N/A
41000096,Salud y Bienestar,Asesoria Profesional salud,N/A,N/A
42000093,Viaje y Recreacion,Alimentacion,N/A,N/A
42000185,Viaje y Recreacion,Todo Parque,4,N/A
42000302,Viaje y Recreacion,Escenarios,1,1
42001827,Cultura,Escenarios,1,289
42002460,Viaje y Recreacion,Rituales empresariales,36,40
42002542,Educacion,Movimiento Consciente,25,30
41000917,Escuela Empresarial,Competencias organizacionales,1,N/A
40000871,Viaje y Recreacion,Alimentacion,N/A,N/A
40001643,Viaje y Recreacion,Todo Parque,4,N/A
40002736,Salud y Bienestar,Plan Capf,N/A,N/A
42000512,Salud y Bienestar,Examenes de laboratorio,N/A,N/A
42003006,Escuela Empresarial,Destrezas para el trabajo,2,6
40000009,Salud y Bienestar,Cita medica ocupacional,N/A,N/A
40004179,Salud y Bienestar,Cita medica ocupacional,1,N/A
42000501,Viaje y Recreacion,Programas Empresariales_Recreativos,N/A,N/A
42002472,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
42002527,Educacion,Movimiento Consciente,25,30
40005020,Salud y Bienestar,Examenes de laboratorio,1,N/A
"42002779,Escuela Empresarial,""Equidad, diversidad e inclusion"",25,50",,,,
41000912,Escuela Empresarial,Competencias organizacionales,1,N/A
40000680,Viaje y Recreacion,Escenarios,1,1
40002495,Viaje y Recreacion,Transporte,N/A,N/A
42000281,Escuela Empresarial,Curso Excel,16,20
42002157,Escuela Empresarial,Taller diversidad e inclusion,10,30
42002601,Educacion,Teatro,15,20
42003397,Salud y Bienestar,Salud - ley 21 atencion empresas,1,N/A
40000424,Viaje y Recreacion,Alimentacion,N/A,N/A
40002745,Salud y Bienestar,Capf Empresarial,N/A,N/A
40002800,Educacion,Parvulos-Ji,N/A,N/A
42000107,Viaje y Recreacion,Alimentacion,N/A,N/A
42000163,Escuela Empresarial,Conferencia desarrollo humano,20,50
42002766,Escuela Empresarial,Competencias organizacionales,15,30
42003056,Escuela Empresarial,Destrezas para el trabajo,15,25
41000548,Viaje y Recreacion,Caminadas Ecologicas,18,25
42002685,Salud y Bienestar,Plan Capf,1,1
42003044,Educacion,Sin asignar,N/A,N/A
